0.027871,0.081081,0.060266,0.085018,0.062195,0.533195
0.033445,0.081081,0.054029,0.084621,0.051131,0.576976
0.032330,0.067568,0.057157,0.087198,0.047139,0.512524
0.030100,0.067568,0.058962,0.091161,0.055012,0.527668
0.026756,0.054054,0.047945,0.087594,0.050170,0.512022
0.021182,0.081081,0.046351,0.090567,0.059053,0.543817
0.018952,0.067568,0.064643,0.082243,0.058351,0.537716
0.018952,0.067568,0.043274,0.086801,0.061296,0.488839
0.021182,0.067568,0.036817,0.073325,0.051981,0.537932
0.022297,0.054054,0.047137,0.087594,0.055493,0.509797
0.018952,0.054054,0.044233,0.089972,0.060088,0.544176
0.018952,0.094595,0.042709,0.087990,0.056404,0.538506
0.022297,0.067568,0.048175,0.088189,0.056934,0.489844
0.017837,0.067568,0.046893,0.085414,0.057107,0.504414
0.013378,0.067568,0.042723,0.083036,0.049763,0.489055
0.015608,0.067568,0.038893,0.088387,0.058511,0.517405
0.020067,0.067568,0.027676,0.091558,0.053842,0.469246
0.016722,0.054054,0.040441,0.084225,0.056873,0.516974
0.014493,0.054054,0.034942,0.075704,0.055394,0.456542
0.018952,0.081081,0.039824,0.087594,0.054174,0.468456
0.024526,0.054054,0.040530,0.078676,0.051562,0.462068
0.024526,0.094595,0.037584,0.084621,0.059916,0.501830
0.022297,0.067568,0.040763,0.090369,0.051106,0.495801
0.024526,0.027027,0.041371,0.074316,0.057575,0.432498
0.030100,0.081081,0.041876,0.083432,0.056084,0.504199
0.027871,0.121622,0.038776,0.080063,0.043468,0.408742
0.026756,0.054054,0.037921,0.074316,0.059361,0.450011
0.027871,0.067568,0.033731,0.083829,0.047090,0.433216
0.026756,0.067568,0.035555,0.071740,0.070499,0.464796
0.026756,0.054054,0.048787,0.081252,0.047509,0.437953
0.026756,0.054054,0.042199,0.078280,0.058844,0.466590
0.022297,0.040541,0.038524,0.075109,0.051969,0.477499
0.021182,0.067568,0.041161,0.070749,0.050232,0.393526
0.035674,0.054054,0.044415,0.072136,0.049209,0.419005
0.036789,0.054054,0.038692,0.071542,0.052203,0.435585
0.035674,0.040541,0.039272,0.073722,0.041644,0.419938
0.032330,0.054054,0.020377,0.069164,0.046646,0.437164
0.024526,0.040541,0.035480,0.070551,0.053447,0.430417
0.024526,0.054054,0.045196,0.065993,0.049037,0.418646
0.047938,0.081081,0.038393,0.078082,0.045562,0.394459
0.043478,0.040541,0.038136,0.064407,0.053090,0.425824
